"Mois/Année","Jour","Groupe de produits","Produit","Prix TVA incl."
"APR25","18APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","19APR25","Essences","Essence 95 RON E5 (€/L)",1.61
"APR25","19APR25","Essences","Essence 95 RON E10 (€/L)",1.604
"APR25","19APR25","Essences","Essence 98 RON E5 (€/L)",1.675
"APR25","19APR25","Essences","Essence 98 RON E10 (€/L)",1.68
"APR25","19APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","19APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","19APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","19APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","19APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","19APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.742
"APR25","19APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.782
"APR25","19APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.719
