"Année","Groupe de produits","Produit","Prix moyen TVA incl."
"2021","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2021","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2021","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2021","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.647
"2022","Essences","Essence 95 RON E5 (€/L)",1.918
"2022","Essences","Essence 95 RON E10 (€/L)",1.852
"2022","Essences","Essence 98 RON E5 (€/L)",2.029
"2022","Essences","Essence 98 RON E10 (€/L)",1.982
"2022","Gasoil Diesel routier","Diesel B7 (€/L)",1.989
"2022","Gasoil Diesel routier","Diesel B10 (€/L)",1.961
"2022","Gasoil Diesel routier","Diesel B20 (€/L)",1.989
"2022","Gasoil Diesel routier","Diesel B30 (€/L)",2.061
"2022","Gasoil Diesel routier","Diesel XTL (€/L)",3.582
"2022","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.2
"2022","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.232
"2022","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2022","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2022","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2022","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.816
"2023","Essences","Essence 95 RON E5 (€/L)",1.835
"2023","Essences","Essence 95 RON E10 (€/L)",1.788
"2023","Essences","Essence 98 RON E5 (€/L)",1.991
"2023","Essences","Essence 98 RON E10 (€/L)",1.963
"2023","Gasoil Diesel routier","Diesel B7 (€/L)",1.834
"2023","Gasoil Diesel routier","Diesel B10 (€/L)",1.814
"2023","Gasoil Diesel routier","Diesel B20 (€/L)",1.83
"2023","Gasoil Diesel routier","Diesel B30 (€/L)",1.871
"2023","Gasoil Diesel routier","Diesel XTL (€/L)",2.884
"2023","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.963
"2023","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1
"2023","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2023","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2023","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2023","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.684
"2024","Essences","Essence 95 RON E5 (€/L)",1.732
"2024","Essences","Essence 95 RON E10 (€/L)",1.716
"2024","Essences","Essence 98 RON E5 (€/L)",1.837
"2024","Essences","Essence 98 RON E10 (€/L)",1.838
"2024","Gasoil Diesel routier","Diesel B7 (€/L)",1.791
"2024","Gasoil Diesel routier","Diesel B10 (€/L)",1.787
"2024","Gasoil Diesel routier","Diesel B20 (€/L)",1.809
"2024","Gasoil Diesel routier","Diesel B30 (€/L)",1.859
"2024","Gasoil Diesel routier","Diesel XTL (€/L)",2.497
"2024","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.888
"2024","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.927
"2024","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.861
"2024","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.901
"2024","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",1.014
"2024","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.749
"2025","Essences","Essence 95 RON E5 (€/L)",1.654
"2025","Essences","Essence 95 RON E10 (€/L)",1.642
"2025","Essences","Essence 98 RON E5 (€/L)",1.715
"2025","Essences","Essence 98 RON E10 (€/L)",1.717
"2025","Gasoil Diesel routier","Diesel B7 (€/L)",1.735
"2025","Gasoil Diesel routier","Diesel B10 (€/L)",1.731
"2025","Gasoil Diesel routier","Diesel B20 (€/L)",1.751
"2025","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"2025","Gasoil Diesel routier","Diesel XTL (€/L)",2.81
"2025","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.799
"2025","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.839
"2025","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.799
"2025","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.839
"2025","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.955
"2025","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.806
"2026","Essences","Essence 95 RON E5 (€/L)",1.687
"2026","Essences","Essence 95 RON E10 (€/L)",1.674
"2026","Essences","Essence 98 RON E5 (€/L)",1.745
"2026","Essences","Essence 98 RON E10 (€/L)",1.741
